machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 537, cp.soft = 150, angle = 63.1019711304379, angle.soft = 89.8251344620519
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 776, cp.soft = 1132, angle = 90, angle.soft = 89.9998283793047
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 699, cp.soft = 1190, angle = 90, angle.soft = 90
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 741, cp.soft = 1100, angle = 90, angle.soft = 89.9994936791519
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 416, cp.soft = 32, angle = 29.2344121364041, angle.soft = 88.2764428347742
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 615, cp.soft = 917, angle = 62.1437491506862, angle.soft = 89.6976807693348
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 709, cp.soft = 1102, angle = 76.2435718677417, angle.soft = 89.4120712874365
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 578, cp.soft = 1133, angle = 68.381696360429, angle.soft = 88.5776285804644
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 462, cp.soft = 802, angle = 73.4695426342248, angle.soft = 90
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 379, cp.soft = 1041, angle = 49.146352734741, angle.soft = 89.9900666273796
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 509, cp.soft = 3, angle = 90, angle.soft = 90
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 404, cp.soft = 1197, angle = 37.0279284928242, angle.soft = 83.1769447315752
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 418, cp.soft = 418, angle = 14.8877625945879, angle.soft = 33.8270651546432
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 407, cp.soft = 407, angle = 16.6369949235243, angle.soft = 31.274805425711
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 396, cp.soft = 401, angle = 20.9147881433587, angle.soft = 44.5345336822257
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 393, angle = 29.7178702870752, angle.soft = 42.7203222642644
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 508, cp.soft = 682, angle = 60.1966035514034, angle.soft = 7.55924122750163
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 545, cp.soft = 6, angle = 53.3257318612339, angle.soft = 89.2500898813205
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 412, cp.soft = 437, angle = 25.3247579460254, angle.soft = 12.0824011088175
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 525, cp.soft = 1182, angle = 60.7580161344876, angle.soft = 89.5225460964606
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 408, cp.soft = 411, angle = 18.7877749506598, angle.soft = 19.997756390083
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 397, cp.soft = 408, angle = 15.0985830942785, angle.soft = 21.2604988013342
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 400, angle = 12.7978110167723, angle.soft = 17.4138812139353
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 402, cp.soft = 405, angle = 15.1631567819561, angle.soft = 29.7251126099421
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 364, cp.soft = 10, angle = 28.7472961656588, angle.soft = 8.07443480815527
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 404, cp.soft = 372, angle = 21.4181339140467, angle.soft = 4.67512889348167
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 716, cp.soft = 278, angle = 90, angle.soft = 89.6414670816185
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 410, cp.soft = 640, angle = 15.6217665268342, angle.soft = 1.78590775456273
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 397, cp.soft = 398, angle = 8.81759154929818, angle.soft = 2.38310353929313
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 415, angle = 7.45091579672858, angle.soft = 2.54143865475312
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 398, cp.soft = 447, angle = 9.44985071386483, angle.soft = 3.22483258751133
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 399, angle = 13.2505598599212, angle.soft = 3.27559429430531
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 673, cp.soft = 6, angle = 71.4039364060037, angle.soft = 89.9924456724044
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 406, cp.soft = 1189, angle = 19.9031145914365, angle.soft = 2.59225073754782
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 568, cp.soft = 44, angle = 88.8104070924105, angle.soft = 89.9947410668087
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 441, cp.soft = 355, angle = 44.6214067458673, angle.soft = 3.21652581675378
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 380, angle = 6.26788946657761, angle.soft = 1.74105273220321
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 374, angle = 9.39621307572298, angle.soft = 1.53450232973722
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 400, angle = 8.08772848064541, angle.soft = 1.93733675196499
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 402, cp.soft = 429, angle = 8.80678533923751, angle.soft = 1.94160287680473
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 733, cp.soft = 1153, angle = 78.5962098148416, angle.soft = 5.6122543800387
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 403, cp.soft = 787, angle = 12.3154464077118, angle.soft = 0.923330867020317
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 401, cp.soft = 1068, angle = 9.22444885564841, angle.soft = 0.971953463906191
machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 403, cp.soft = 654, angle = 17.7497328114168, angle.soft = 1.27797003991982
